decision_window_id,timestamp_ms,proposals_received,xapps_involved,conflict_detected,conflict_type,resolution_tier,arbitration_rule,decision_latency_ms,e2sm_rc_action,status
1,200,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,12.24,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
2,400,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.56,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
3,600,3,"xslice,energy_saving,traffic_steering",False,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,16.11,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
4,800,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.66,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
5,1000,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,16.54,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
6,1200,3,"xslice,energy_saving,traffic_steering",False,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,17.26,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
7,1400,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.18,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
8,1600,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,14.04,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
9,1800,3,"xslice,energy_saving,traffic_steering",False,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.43,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
10,2000,3,"xslice,energy_saving,traffic_steering",True,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.31,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
11,2200,3,"xslice,energy_saving,traffic_steering",True,EEVS_TX_Power,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,11.9,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
12,2400,3,"xslice,energy_saving,traffic_steering",False,TVS_Direct_PRB,Heuristic_Priority,URLLC_Preemption_and_Power_Cap,15.76,SET_PRB_QUOTA_AND_TX_POWER,CONTROL_ACK_CONFIRMED
